chr17:55060000-55070000.filter.fa,2932,83,2903,81,122,113
chr17:92590000-92600000.filter.fa,803,26,143,4,6,6
chr17:43360000-43370000.filter.fa,7332,312,7031,258,298,400
chr17:30660000-30670000.filter.fa,3276,171,3047,150,232,151
chr17:69240000-69250000.filter.fa,6886,219,6809,214,340,352
chr17:94620000-94630000.filter.fa,2545,61,2322,50,163,180
chr17:33340000-33350000.filter.fa,182,83,180,82,75,10
chr17:32860000-32870000.filter.fa,313,74,289,56,11,57
chr17:40740000-40750000.filter.fa,1044,50,937,26,54,57
chr17:18660000-18670000.filter.fa,0,0,0,0,0,0
chr17:33610000-33620000.filter.fa,1305,71,889,26,87,77
chr17:29890000-29900000.filter.fa,6107,119,5889,116,199,203
chr17:70850000-70860000.filter.fa,6575,119,5816,92,176,171
chr17:82410000-82420000.filter.fa,1833,137,1738,127,142,154
chr17:54920000-54930000.filter.fa,5319,190,5189,159,249,311
chr17:86220000-86230000.filter.fa,5790,452,4857,362,463,216
chr17:47060000-47070000.filter.fa,4354,222,3919,201,198,194
chr17:48170000-48180000.filter.fa,1134,21,538,8,107,108
chr17:25160000-25170000.filter.fa,8125,135,7717,123,243,259
chr17:80770000-80780000.filter.fa,6595,232,6153,207,344,381
chr17:35920000-35930000.filter.fa,8072,170,7772,154,361,371
chr17:29930000-29940000.filter.fa,4628,166,4026,141,210,140
chr17:80660000-80670000.filter.fa,6178,107,5857,105,298,293
chr17:76880000-76890000.filter.fa,6089,248,5695,219,392,441
chr17:51110000-51120000.filter.fa,8191,241,7611,179,288,354
chr17:87930000-87940000.filter.fa,2854,89,1929,42,132,129
chr17:80050000-80060000.filter.fa,5903,405,5449,364,443,410
chr17:14350000-14360000.filter.fa,7090,133,5625,115,240,244
chr17:88480000-88490000.filter.fa,7407,229,6343,154,346,328
chr17:80220000-80230000.filter.fa,4745,433,2849,340,212,313
chr17:9890000-9900000.filter.fa,9007,108,8788,107,396,403
chr17:33590000-33600000.filter.fa,3597,226,2760,72,147,158
chr17:51320000-51330000.filter.fa,6355,166,5899,123,226,198
chr17:71920000-71930000.filter.fa,7217,129,6926,111,333,303
chr17:86480000-86490000.filter.fa,7796,193,7292,164,371,379
chr17:52610000-52620000.filter.fa,5458,183,4953,93,173,194
chr17:29250000-29260000.filter.fa,6636,141,6203,133,301,302
chr17:43030000-43040000.filter.fa,7775,148,7353,132,313,317
chr17:94090000-94100000.filter.fa,7802,134,7416,127,392,402
chr17:72070000-72080000.filter.fa,5773,173,5568,109,209,222
chr17:45460000-45470000.filter.fa,4394,238,3058,195,302,230
chr17:33920000-33930000.filter.fa,6373,117,5732,99,225,181
chr17:91240000-91250000.filter.fa,5617,169,5563,169,247,313
chr17:72210000-72220000.filter.fa,5046,125,3806,82,162,171
chr17:37290000-37300000.filter.fa,7,0,7,0,0,0
chr17:49550000-49560000.filter.fa,5389,166,5001,152,177,193
chr17:81630000-81640000.filter.fa,7110,265,6882,239,441,417
chr17:42730000-42740000.filter.fa,4002,191,2782,136,112,108
chr17:8220000-8230000.filter.fa,1477,29,1438,27,61,66
chr17:11930000-11940000.filter.fa,5948,69,5377,54,187,197
chr17:13790000-13800000.filter.fa,2262,54,1982,29,115,108
chr17:41000000-41010000.filter.fa,4470,160,4206,149,257,201
chr17:90900000-90910000.filter.fa,5866,144,5553,134,340,336
chr17:61370000-61380000.filter.fa,595,20,104,3,9,9
chr17:91060000-91070000.filter.fa,6745,147,6549,138,357,304
chr17:41550000-41560000.filter.fa,5563,203,4306,142,304,260
chr17:62720000-62730000.filter.fa,8443,169,8166,163,410,404
chr17:14520000-14530000.filter.fa,2370,46,2361,46,98,95
chr17:49820000-49830000.filter.fa,5988,169,5597,104,232,182
chr17:78710000-78720000.filter.fa,5579,229,3654,171,264,262
chr17:17970000-17980000.filter.fa,1670,259,1665,259,151,225
chr17:33740000-33750000.filter.fa,4649,110,4451,100,134,130
chr17:38250000-38260000.filter.fa,0,0,0,0,0,0
chr17:62810000-62820000.filter.fa,8419,145,7726,121,365,343
chr17:44100000-44110000.filter.fa,7666,70,7431,67,253,253
chr17:92280000-92290000.filter.fa,4966,327,3782,101,237,227
chr17:21060000-21070000.filter.fa,0,0,0,0,0,0
chr17:43670000-43680000.filter.fa,4618,142,4452,136,238,212
chr17:4830000-4840000.filter.fa,5203,201,4784,159,287,277
chr17:3530000-3540000.filter.fa,8800,226,8414,216,442,468
chr17:57370000-57380000.filter.fa,0,0,0,0,0,0
chr17:66430000-66440000.filter.fa,6022,224,5154,182,262,262
chr17:13500000-13510000.filter.fa,2362,14,2219,14,68,64
chr17:29200000-29210000.filter.fa,5106,108,4668,99,169,186
chr17:37580000-37590000.filter.fa,36,0,0,0,0,0
chr17:81210000-81220000.filter.fa,6328,174,6078,151,247,226
chr17:60320000-60330000.filter.fa,2670,75,1594,43,97,114
chr17:61650000-61660000.filter.fa,4330,186,4225,156,216,275
chr17:92400000-92410000.filter.fa,4384,82,4250,75,217,209
chr17:89790000-89800000.filter.fa,1236,33,1183,19,88,92
chr17:60110000-60120000.filter.fa,7277,195,6363,117,348,344
chr17:45780000-45790000.filter.fa,5361,188,5029,187,286,284
chr17:59650000-59660000.filter.fa,7461,230,7276,201,404,444
chr17:40170000-40180000.filter.fa,0,0,0,0,0,0
chr17:48240000-48250000.filter.fa,5759,203,3746,111,212,254
chr17:84030000-84040000.filter.fa,5774,338,4969,102,205,194
chr17:40810000-40820000.filter.fa,4841,107,4635,91,195,183
chr17:28010000-28020000.filter.fa,7661,158,7329,152,327,311
chr17:57240000-57250000.filter.fa,5078,86,4830,59,151,157
chr17:11750000-11760000.filter.fa,3342,73,3281,73,109,90
chr17:38020000-38030000.filter.fa,2764,62,2563,54,215,210
chr17:56090000-56100000.filter.fa,5281,47,4709,42,134,131
chr17:27240000-27250000.filter.fa,6073,147,5354,102,222,211
chr17:43330000-43340000.filter.fa,5078,169,4769,162,264,189
chr17:58920000-58930000.filter.fa,7936,210,7318,189,380,380
chr17:31220000-31230000.filter.fa,5927,138,5574,129,247,230
chr17:82930000-82940000.filter.fa,5591,166,5420,144,330,255
chr17:72890000-72900000.filter.fa,4382,139,4241,133,283,304
chr17:56400000-56410000.filter.fa,7127,139,6893,134,239,224
chr17:36140000-36150000.filter.fa,0,0,0,0,0,0
chr17:59090000-59100000.filter.fa,4464,253,3855,185,223,317
chr17:80600000-80610000.filter.fa,7259,168,6598,156,296,315
